date,team1,team2,neutral,world_cup,rank_diff,score_diff,result
2000-11-18,France,New Zealand,0,0,-5,9,1
2000-11-19,Ireland,South Africa,0,0,-3,-10,-1
2000-11-25,England,Argentina,0,0,4,19,1
2000-11-25,Italy,New Zealand,0,0,-11,-37,-1
2000-11-26,Wales,South Africa,0,0,-5,-10,-1
2000-12-02,England,South Africa,0,0,-2,8,1
2001-02-03,Italy,Ireland,0,0,-7,-19,-1
2001-02-03,Wales,England,0,0,-3,-29,-1
2001-02-04,France,Scotland,0,0,3,10,1
2001-02-17,England,Italy,0,0,8,57,1
2001-02-17,Ireland,France,0,0,1,7,1
2001-02-17,Scotland,Wales,0,0,-2,0,0
2001-03-03,Italy,France,0,0,-6,-11,-1
2001-03-03,England,Scotland,0,0,5,40,1
2001-03-17,France,Wales,0,0,1,-8,-1
2001-03-17,Scotland,Italy,0,0,3,4,1
2001-04-07,England,France,0,0,2,29,1
2001-04-08,Italy,Wales,0,0,-5,-10,-1
2001-06-16,South Africa,France,0,0,4,-9,-1
2001-06-23,South Africa,France,0,0,4,5,1
2001-06-23,New Zealand,Argentina,0,0,7,48,1
2001-06-30,South Africa,Italy,0,0,10,46,1
2001-06-30,New Zealand,France,0,0,5,25,1
2001-07-14,Argentina,Italy,0,0,4,21,1
2001-07-21,South Africa,New Zealand,0,0,-1,-9,-1
2001-07-28,South Africa,Australia,0,0,1,5,1
2001-08-11,New Zealand,Australia,0,0,2,-8,-1
2001-08-18,Australia,South Africa,0,0,-1,0,0
2001-08-25,New Zealand,South Africa,0,0,1,11,1
2001-09-01,Australia,New Zealand,0,0,-2,3,1
2001-09-22,Scotland,Ireland,0,0,-4,22,1
2001-10-13,Wales,Ireland,0,0,-2,-30,-1
2001-10-20,Ireland,England,0,0,-1,6,1
2001-11-10,Wales,Argentina,0,0,1,-14,-1
2001-11-10,England,Australia,0,0,-1,6,1
2001-11-10,France,South Africa,0,0,-4,10,1
2001-11-17,Italy,South Africa,0,0,-10,-28,-1
2001-11-17,Ireland,New Zealand,0,0,-4,-11,-1
2001-11-17,France,Australia,0,0,-3,1,1
2001-11-18,Scotland,Argentina,0,0,-1,-9,-1
2001-11-24,Scotland,New Zealand,0,0,-8,-31,-1
2001-11-24,England,South Africa,0,0,-2,20,1
2001-11-25,Wales,Australia,0,0,-4,-8,-1
2001-12-01,Argentina,New Zealand,0,0,-7,-4,-1
2002-02-02,Scotland,England,0,0,-5,-26,-1
2002-02-02,France,Italy,0,0,6,21,1
2002-02-03,Ireland,Wales,0,0,2,44,1
2002-02-16,Wales,France,0,0,-1,-4,-1
2002-02-16,Italy,Scotland,0,0,-3,-17,-1
2002-02-16,England,Ireland,0,0,1,34,1
2002-03-02,Ireland,Scotland,0,0,4,21,1
2002-03-02,Wales,Italy,0,0,5,24,1
2002-03-02,France,England,0,0,-2,5,1
2002-03-22,Scotland,France,0,0,-3,-12,-1
2002-03-23,Ireland,Italy,0,0,7,15,1
2002-03-23,England,Wales,0,0,3,40,1
2002-04-06,Wales,Scotland,0,0,2,-5,-1
2002-04-06,France,Ireland,0,0,-1,39,1
2002-04-07,Italy,England,0,0,-8,-36,-1
2002-06-08,South Africa,Wales,0,0,5,15,1
2002-06-08,New Zealand,Italy,0,0,11,54,1
2002-06-15,South Africa,Wales,0,0,5,11,1
2002-06-15,Argentina,France,0,0,-2,1,1
2002-06-15,New Zealand,Ireland,0,0,4,9,1
2002-06-22,Argentina,England,0,0,-4,-8,-1
2002-06-22,New Zealand,Ireland,0,0,4,32,1
2002-06-22,Australia,France,0,0,3,12,1
2002-06-29,Australia,France,0,0,3,6,1
2002-06-29,South Africa,Argentina,0,0,6,20,1
2002-07-13,New Zealand,Australia,0,0,2,6,1
2002-07-20,New Zealand,South Africa,0,0,1,21,1
2002-07-27,Australia,South Africa,0,0,-1,11,1
2002-08-03,Australia,New Zealand,0,0,-2,2,1
2002-08-10,South Africa,New Zealand,0,0,-1,-7,-1
2002-08-17,South Africa,Australia,0,0,1,2,1
2002-11-02,Argentina,Australia,0,0,-5,-11,-1
2002-11-09,England,New Zealand,0,0,-3,3,1
2002-11-09,Ireland,Australia,0,0,-2,9,1
2002-11-09,France,South Africa,0,0,-4,20,1
2002-11-16,Scotland,South Africa,0,0,-7,15,1
2002-11-16,England,Australia,0,0,-1,1,1
2002-11-16,France,New Zealand,0,0,-5,0,0
2002-11-16,Italy,Argentina,0,0,-4,-32,-1
2002-11-23,Wales,New Zealand,0,0,-6,-26,-1
2002-11-23,Italy,Australia,0,0,-9,-31,-1
2002-11-23,England,South Africa,0,0,-2,50,1
